Ponto;Lat;Lon;Altura;Altura G;Altura C;Lon UTM;Lat UTM
AUTO0205;-23,97596;-46,32228;-5,091;-4,6;-0,491000000000001;365476,455605923;7347804,1715268
AUTO0206;-23,97597;-46,32227;-5,088;-4,6;-0,488;365477,483474484;7347803,07373576
AUTO0207;-23,97597;-46,32227;-5,118;-4,6;-0,518000000000001;365477,483474484;7347803,07373576
AUTO0208;-23,97597;-46,32226;-5,145;-4,6;-0,545;365478,500956722;7347803,08327919
AUTO0209;-23,97598;-46,32226;-5,107;-4,6;-0,507000000000001;365478,51134289;7347801,97594465
AUTO0210;-23,97598;-46,32225;-5,138;-4,6;-0,538;365479,528825046;7347801,98548802
AUTO0211;-23,97599;-46,32224;-5,132;-4,6;-0,532;365480,556693214;7347800,88769677
AUTO0212;-23,97599;-46,32224;-5,117;-4,6;-0,517;365480,556693214;7347800,88769677
AUTO0213;-23,976;-46,32223;-5,121;-4,61;-0,511;365481,584561228;7347799,78990546
AUTO0214;-23,976;-46,32223;-5,13;-4,61;-0,52;365481,584561228;7347799,78990546
AUTO0215;-23,976;-46,32222;-5,131;-4,61;-0,521;365482,602043218;7347799,79944862
AUTO0216;-23,97601;-46,32221;-5,121;-4,61;-0,511;365483,629910993;7347798,70165716
AUTO0217;-23,97601;-46,32221;-5,154;-4,61;-0,544;365483,629910993;7347798,70165716
AUTO0218;-23,97602;-46,3222;-5,169;-4,61;-0,558999999999999;365484,657778612;7347797,60386565
AUTO0219;-23,97602;-46,3222;-5,165;-4,61;-0,555;365484,657778612;7347797,60386565
AUTO0220;-23,97603;-46,32219;-5,129;-4,61;-0,518999999999999;365485,685646076;7347796,50607406
AUTO0221;-23,97603;-46,32219;-5,152;-4,61;-0,542;365485,685646076;7347796,50607406
AUTO0222;-23,97603;-46,32218;-5,149;-4,61;-0,539;365486,70312782;7347796,51561694
AUTO0223;-23,97604;-46,32218;-5,141;-4,61;-0,531;365486,713513383;7347795,40828241
AUTO0224;-23,97604;-46,32217;-5,147;-4,61;-0,537;365487,730995046;7347795,41782522
AUTO0225;-23,97604;-46,32216;-5,174;-4,61;-0,564;365488,748476707;7347795,42736796
AUTO0226;-23,97605;-46,32216;-5,164;-4,61;-0,553999999999999;365488,758862117;7347794,32003343
AUTO0227;-23,97605;-46,32215;-5,158;-4,61;-0,548;365489,776343695;7347794,3295761
AUTO0228;-23,97606;-46,32214;-5,115;-4,61;-0,505;365490,804210528;7347793,23178417
AUTO0229;-23,97606;-46,32214;-5,189;-4,61;-0,579;365490,804210528;7347793,23178417
AUTO0230;-23,97606;-46,32213;-5,147;-4,61;-0,537;365491,821692023;7347793,2413267
AUTO0231;-23,97607;-46,32213;-5,154;-4,61;-0,544;365491,832077206;7347792,13399218
AUTO0232;-23,97607;-46,32212;-5,174;-4,61;-0,564;365492,849558619;7347792,14353463
AUTO0233;-23,97607;-46,32211;-5,191;-4,61;-0,581;365493,867040029;7347792,15307702
AUTO0234;-23,97608;-46,32211;-5,155;-4,61;-0,545;365493,877425058;7347791,0457425
AUTO0235;-23,97608;-46,3221;-5,178;-4,61;-0,568;365494,894906388;7347791,05528482
AUTO0236;-23,97608;-46,32209;-5,212;-4,61;-0,601999999999999;365495,912387714;7347791,06482706
AUTO0237;-23,97609;-46,32209;-5,179;-4,61;-0,569;365495,92277259;7347789,95749255
AUTO0238;-23,97609;-46,32208;-5,181;-4,61;-0,571;365496,940253836;7347789,96703472
AUTO0239;-23,97609;-46,32207;-5,199;-4,61;-0,589;365497,957735078;7347789,97657683
AUTO0240;-23,9761;-46,32207;-5,191;-4,61;-0,581;365497,968119801;7347788,86924232
AUTO0241;-23,9761;-46,32206;-5,161;-4,61;-0,550999999999999;365498,985600961;7347788,87878435
AUTO0242;-23,9761;-46,32206;-5,163;-4,61;-0,553;365498,985600961;7347788,87878435
AUTO0243;-23,97611;-46,32205;-5,238;-4,61;-0,628;365500,01346669;7347787,78099181
AUTO0244;-23,97611;-46,32204;-5,181;-4,61;-0,571;365501,030947767;7347787,7905337
